iter	Accuracy	Logloss
0	0.8106591865	0.6644958966
1	0.8148667602	0.6364697054
2	0.824684432	0.6103105572
3	0.8288920056	0.5909496175
4	0.8260869565	0.5701860204
5	0.8260869565	0.5511730369
6	0.8260869565	0.53621579
7	0.8274894811	0.5202621581
8	0.8288920056	0.5069942941
9	0.8302945302	0.4934056256
10	0.8288920056	0.4812288919
11	0.8288920056	0.4721447074
12	0.8288920056	0.465806258
13	0.8288920056	0.4579334166
14	0.8316970547	0.4474309362
15	0.8330995792	0.4380753998
16	0.8373071529	0.4306988335
17	0.8359046283	0.4247735436
18	0.8345021038	0.4195012981
19	0.8345021038	0.4182965374
20	0.8373071529	0.413097084
21	0.8359046283	0.4098225079
22	0.8387096774	0.4062153129
23	0.8373071529	0.40491743
24	0.8415147265	0.4007649944
25	0.8485273492	0.3970842848
26	0.8471248247	0.3931722744
27	0.8457223001	0.3893012776
28	0.8457223001	0.3852119091
29	0.8443197756	0.3824396297
30	0.8471248247	0.3790390126
31	0.8485273492	0.3765677111
32	0.8471248247	0.3761199187
33	0.8499298738	0.3725101737
34	0.8499298738	0.3707135511
35	0.8513323983	0.3684687175
36	0.8513323983	0.3661150505
37	0.8527349229	0.364928671
38	0.8513323983	0.3635355803
39	0.8499298738	0.3626795336
40	0.8527349229	0.3607456095
41	0.8527349229	0.3594903695
42	0.8541374474	0.3583632836
43	0.858345021	0.3562787833
44	0.858345021	0.3547310134
45	0.8597475456	0.3532100327
46	0.8639551192	0.3519224134
47	0.8639551192	0.3517062473
48	0.8653576438	0.350492349
49	0.8653576438	0.349100346
50	0.8653576438	0.3487243652
51	0.8653576438	0.347558056
52	0.8695652174	0.346161352
53	0.8695652174	0.3455394933
54	0.8695652174	0.344219373
55	0.8695652174	0.3428502681
56	0.8695652174	0.3419446888
57	0.8695652174	0.3407793668
58	0.8695652174	0.3396837556
59	0.8695652174	0.3388851442
60	0.8709677419	0.3381731005
61	0.8709677419	0.3376224116
62	0.8709677419	0.3365544864
63	0.8709677419	0.3361929228
64	0.8709677419	0.3352711366
65	0.8709677419	0.3343104771
66	0.8723702665	0.3333855492
67	0.873772791	0.3325504977
68	0.873772791	0.3314154703
69	0.873772791	0.3302491441
70	0.873772791	0.3298391012
71	0.873772791	0.3287473373
72	0.873772791	0.3287464996
73	0.8751753156	0.3278267589
74	0.8751753156	0.3269046671
75	0.8765778401	0.3265760163
76	0.8765778401	0.3261349804
77	0.8765778401	0.325553032
78	0.8779803647	0.3250733022
79	0.8793828892	0.3244100656
80	0.8779803647	0.3223939324
81	0.8779803647	0.3219252453
82	0.8779803647	0.3213787194
83	0.8793828892	0.3208486712
84	0.8807854137	0.3190186001
85	0.8793828892	0.3182174034
86	0.8793828892	0.3182164523
87	0.8849929874	0.3174552109
88	0.8863955119	0.3161812862
89	0.8849929874	0.3152163375
90	0.8877980365	0.3145145542
91	0.889200561	0.3137640451
92	0.8877980365	0.3125422565
93	0.889200561	0.3119572491
94	0.889200561	0.3119543296
95	0.889200561	0.3106712564
96	0.8906030856	0.3089353591
97	0.8906030856	0.3089257269
98	0.8934081346	0.3065923951
99	0.8920056101	0.3051322417
100	0.8934081346	0.3035823889
101	0.8906030856	0.3029961681
102	0.8934081346	0.3020694158
103	0.8948106592	0.3014987895
104	0.8948106592	0.3013273538
105	0.8948106592	0.3008635157
106	0.8948106592	0.300349417
107	0.8948106592	0.2991164208
108	0.8948106592	0.2977286956
109	0.8948106592	0.2976296556
110	0.8934081346	0.2966227001
111	0.8934081346	0.2964257329
112	0.8934081346	0.295454002
113	0.8934081346	0.2954455821
114	0.8934081346	0.2950035367
115	0.8948106592	0.2938916169
116	0.8948106592	0.2928171027
117	0.8948106592	0.2923740895
118	0.8948106592	0.2918969317
119	0.8976157083	0.2912022234
120	0.8990182328	0.290981109
121	0.9032258065	0.2889516163
122	0.9032258065	0.2887061614
123	0.904628331	0.2883669147
124	0.904628331	0.2875824228
125	0.904628331	0.2870016271
126	0.904628331	0.2867054539
127	0.904628331	0.2866158655
128	0.904628331	0.2864812702
129	0.904628331	0.2864259289
130	0.904628331	0.2858411721
131	0.904628331	0.2851907219
132	0.904628331	0.2840815101
133	0.904628331	0.2833226256
134	0.904628331	0.2829198728
135	0.904628331	0.2817644285
136	0.904628331	0.2806729151
137	0.904628331	0.2803478968
138	0.904628331	0.2795259178
139	0.9060308555	0.2786386376
140	0.9060308555	0.2785287752
141	0.9060308555	0.277631442
142	0.9060308555	0.2771697772
143	0.9060308555	0.2764521733
144	0.9074333801	0.2757653863
145	0.9074333801	0.2757444413
146	0.9102384292	0.2754677398
147	0.9102384292	0.2752090133
148	0.9102384292	0.2748818867
149	0.9116409537	0.2745534964
150	0.9116409537	0.2734611049
151	0.9130434783	0.272848836
152	0.9130434783	0.272569507
153	0.9130434783	0.2714396178
154	0.9130434783	0.2708291238
155	0.9130434783	0.2705882706
156	0.9130434783	0.2704498404
157	0.9130434783	0.2693967423
158	0.9130434783	0.268917819
159	0.9158485273	0.2685624124
160	0.9144460028	0.2670722239
161	0.9144460028	0.2670341792
162	0.9158485273	0.2666907997
163	0.920056101	0.2656245637
164	0.9214586255	0.2647919128
165	0.9214586255	0.2646915824
166	0.9214586255	0.2643232652
167	0.9214586255	0.264268909
168	0.9214586255	0.2640907621
169	0.9228611501	0.263204728
170	0.9228611501	0.2627159299
171	0.9228611501	0.2621265892
172	0.9214586255	0.2615844882
173	0.9214586255	0.2612176167
174	0.9214586255	0.2611346594
175	0.9214586255	0.2605138818
176	0.9214586255	0.2604280223
177	0.9214586255	0.2603160215
178	0.920056101	0.2589916857
179	0.920056101	0.2579989348
180	0.920056101	0.2578489452
181	0.920056101	0.2571418795
182	0.920056101	0.2560251526
183	0.9228611501	0.2548566788
184	0.9228611501	0.2546349994
185	0.9228611501	0.2545663693
186	0.9228611501	0.2539595541
187	0.9242636746	0.2534372559
188	0.9228611501	0.2525492563
189	0.9228611501	0.2518161422
190	0.9242636746	0.2515733137
191	0.9242636746	0.2514264219
192	0.9242636746	0.2510654317
193	0.9256661992	0.250810163
194	0.9256661992	0.2503447529
195	0.9270687237	0.2498406337
196	0.9242636746	0.2493988021
197	0.9242636746	0.2489849486
198	0.9284712482	0.2477866584
199	0.9312762973	0.2464238751
200	0.9312762973	0.2454807119
201	0.9312762973	0.2446150537
202	0.9312762973	0.2444697381
203	0.9312762973	0.2443811577
204	0.9312762973	0.243887897
205	0.9298737728	0.2432271313
206	0.9298737728	0.243050392
207	0.9298737728	0.242014822
208	0.9312762973	0.2412483933
209	0.9312762973	0.2410008573
210	0.9312762973	0.2409078012
211	0.9312762973	0.2407759159
212	0.9312762973	0.2398810899
213	0.9312762973	0.2385049493
214	0.9326788219	0.2375505875
215	0.9326788219	0.236797904
216	0.9340813464	0.2361115527
217	0.9340813464	0.235314851
218	0.9326788219	0.2349195979
219	0.9326788219	0.2348072497
220	0.9340813464	0.2337148291
221	0.9340813464	0.2336552376
222	0.9340813464	0.2331768115
223	0.9340813464	0.2329379774
224	0.9340813464	0.2325730957
225	0.9340813464	0.2323881803
226	0.9340813464	0.2322015802
227	0.9340813464	0.2317744114
228	0.9340813464	0.2311078866
229	0.9340813464	0.2310516694
230	0.9340813464	0.230825989
231	0.9340813464	0.2304962604
232	0.9340813464	0.229777449
233	0.9340813464	0.2293559141
234	0.9340813464	0.2291552586
235	0.9340813464	0.2283390266
236	0.9340813464	0.227405065
237	0.935483871	0.2267795828
238	0.9340813464	0.2263179519
239	0.9340813464	0.2261312794
240	0.9340813464	0.2260099011
241	0.935483871	0.2253496243
242	0.935483871	0.2247138812
243	0.935483871	0.2240318098
244	0.935483871	0.2238058542
245	0.935483871	0.2237108745
246	0.935483871	0.2236774848
247	0.935483871	0.2231577898
248	0.935483871	0.2225656826
249	0.935483871	0.2223502203
250	0.9368863955	0.2208925051
251	0.9368863955	0.2206626956
252	0.9368863955	0.2201149559
253	0.9368863955	0.2198275371
254	0.9368863955	0.219403911
255	0.9368863955	0.2191765473
256	0.9368863955	0.2187326909
257	0.9368863955	0.2184653091
258	0.9368863955	0.2181927034
259	0.9368863955	0.2177652594
