iter	Passed	Remaining
0	31	94723
1	70	106271
2	113	113069
3	146	109800
4	181	108585
5	217	108324
6	253	108211
7	289	108327
8	329	109588
9	365	109301
10	403	109549
11	438	109196
12	473	108801
13	509	108772
14	547	108924
15	584	108963
16	618	108502
17	655	108560
18	693	108735
19	705	105192
20	739	104873
21	774	104852
22	812	105122
23	830	103014
24	866	103094
25	902	103246
26	937	103255
27	975	103528
28	1012	103751
29	1052	104216
30	1088	104269
31	1123	104230
32	1136	102147
33	1170	102132
34	1206	102197
35	1241	102241
36	1275	102156
37	1310	102164
38	1343	102030
39	1379	102080
40	1413	102049
41	1450	102136
42	1484	102097
43	1520	102131
44	1557	102281
45	1592	102256
46	1627	102273
47	1657	101942
48	1695	102096
49	1731	102167
50	1768	102259
51	1804	102292
52	1837	102173
53	1873	102208
54	1909	102256
55	1943	102159
56	1978	102151
57	2014	102205
58	2051	102242
59	2086	102217
60	2122	102246
61	2158	102308
62	2196	102377
63	2229	102271
64	2264	102252
65	2301	102325
66	2334	102191
67	2368	102113
68	2403	102098
69	2440	102137
70	2476	102160
71	2512	102160
72	2519	101022
73	2554	101017
74	2592	101099
75	2621	100870
76	2658	100905
77	2695	100972
78	2731	101010
79	2764	100898
80	2800	100919
81	2837	100962
82	2875	101051
83	2915	101201
84	2952	101248
85	2989	101281
86	3006	100663
87	3043	100716
88	3078	100695
89	3114	100693
90	3149	100693
91	3190	100838
92	3228	100930
93	3265	100938
94	3283	100395
95	3318	100398
96	3355	100413
97	3380	100092
98	3412	100009
99	3448	99995
100	3483	99974
101	3518	99963
102	3554	99981
103	3592	100036
104	3627	100026
105	3665	100061
106	3698	99995
107	3733	99979
108	3768	99950
109	3781	99353
110	3816	99325
111	3851	99305
112	3885	99276
113	3913	99084
114	3947	99029
115	3982	99006
116	4016	98958
117	4050	98933
118	4085	98900
119	4118	98841
120	4153	98829
121	4189	98827
122	4225	98827
123	4266	98962
124	4301	98936
125	4334	98873
126	4369	98841
127	4403	98804
128	4438	98779
129	4450	98261
130	4484	98222
131	4518	98164
132	4553	98149
133	4588	98139
134	4623	98114
135	4656	98069
136	4691	98039
137	4726	98022
138	4761	98004
139	4795	97969
140	4830	97938
141	4864	97909
142	4900	97901
143	4939	97963
144	4975	97973
145	5008	97908
146	5041	97848
147	5077	97845
148	5109	97773
149	5145	97757
150	5180	97748
151	5215	97731
152	5254	97780
153	5290	97769
154	5324	97738
155	5364	97795
156	5399	97775
157	5434	97755
158	5467	97695
159	5500	97637
160	5535	97610
161	5554	97312
162	5588	97266
163	5621	97210
164	5657	97200
165	5692	97183
166	5727	97154
167	5764	97169
168	5799	97150
169	5834	97133
170	5868	97087
171	5903	97070
172	5939	97064
173	5976	97065
174	6011	97039
175	6047	97032
176	6083	97019
177	6118	96995
178	6155	97004
179	6190	96991
180	6224	96937
181	6258	96905
182	6293	96881
183	6329	96862
184	6366	96880
185	6401	96849
186	6437	96832
187	6473	96820
188	6507	96787
189	6541	96748
190	6579	96764
191	6615	96746
192	6650	96723
193	6685	96698
194	6717	96635
195	6750	96572
196	6786	96563
197	6821	96535
198	6857	96520
199	6891	96477
200	6926	96458
201	6960	96414
202	6993	96352
203	7026	96301
204	7061	96283
205	7098	96282
206	7133	96247
207	7169	96243
208	7204	96209
209	7238	96163
210	7272	96123
211	7307	96101
212	7340	96047
213	7376	96038
214	7412	96022
215	7447	95992
216	7481	95951
217	7515	95907
218	7548	95851
219	7584	95843
220	7619	95814
221	7656	95815
222	7693	95806
223	7729	95791
224	7765	95774
225	7800	95743
226	7835	95715
227	7870	95691
228	7905	95665
229	7942	95654
230	7975	95608
231	8028	95788
232	8064	95775
233	8100	95747
234	8136	95731
235	8172	95713
236	8208	95702
237	8244	95674
238	8283	95696
239	8325	95743
240	8364	95760
241	8400	95737
242	8436	95718
243	8472	95700
244	8507	95670
245	8542	95638
246	8580	95632
247	8614	95594
248	8649	95558
249	8685	95537
250	8720	95505
251	8756	95485
252	8789	95433
253	8826	95419
254	8861	95389
255	8895	95349
256	8928	95299
257	8964	95278
258	8993	95173
259	9026	95126
